scenario,sweep_param,sweep_value,depth_rel,A,aPAR,Rd,Ps,Kn
Uniform,LAI,0.5,0.00714285714285714,13.3943627984487,964.209628024572,0.900000000000002,1.00578231018012,1.77926481212562
Uniform,LAI,0.5,0.0214285714285714,13.2803466735137,959.496124641691,0.891808930519284,1.00084713122364,1.781458146325
Uniform,LAI,0.5,0.0357142857142857,13.1672453324217,954.814910951485,0.883692409504387,0.995936168234267,1.78365304846965
Uniform,LAI,0.5,0.05,13.0550543597306,950.165828473567,0.875649758475679,0.991049302388932,1.78585003461471
Uniform,LAI,0.5,0.0642857142857143,12.9437672014457,945.548719939497,0.867680305128516,0.986186415447619,1.78804870051146
Uniform,LAI,0.5,0.0785714285714286,12.83338126512,940.9634292868,0.859783383277006,0.981347389750491,1.79025020319096
Uniform,LAI,0.5,0.0928571428571429,12.7238944898124,936.409801653029,0.851958332798351,0.976532108215046,1.79245594059644
Uniform,LAI,0.5,0.107142857142857,12.6153039498836,931.887683369878,0.844204499577657,0.971740454333282,1.79466703490771
Uniform,LAI,0.5,0.121428571428571,12.5076043294155,927.396921957345,0.836521235453238,0.966972312168879,1.79688362918293
Uniform,LAI,0.5,0.135714285714286,12.4007918767185,922.937366117946,0.82890789816247,0.962227566354395,1.7991065160299
Uniform,LAI,0.5,0.15,12.2948621054379,918.508865730974,0.821363851288065,0.957506102088473,1.80133622556387
Uniform,LAI,0.5,0.164285714285714,12.189809453053,914.111271846812,0.813888464204897,0.952807805133064,1.80357278987825
Uniform,LAI,0.5,0.178571428571429,12.0856302377525,909.744436681289,0.80648111202728,0.948132561810665,1.80581704855719
Uniform,LAI,0.5,0.192857142857143,11.9823199805036,905.408213610094,0.799141175556722,0.943480259001563,1.80806945394303
Uniform,LAI,0.5,0.207142857142857,11.8798769371186,901.102457163222,0.791868041230179,0.938850784141104,1.81033166645377
Uniform,LAI,0.5,0.221428571428571,11.7782974923935,896.827023019484,0.784661101068763,0.934244025216965,1.81260465056109
Uniform,LAI,0.5,0.235714285714286,11.6775748060416,892.581768001057,0.777519752626905,0.929659870766449,1.81488787281631
Uniform,LAI,0.5,0.25,11.5777075512918,888.36655006808,0.77044339894202,0.925098209873782,1.81718324729977
Uniform,LAI,0.5,0.264285714285714,11.4786909274729,884.181228313303,0.763431448484581,0.920558932167432,1.81949125427124
Uniform,LAI,0.5,0.278571428571429,11.3805184349094,880.025662956778,0.756483315108691,0.916041927817442,1.82181156417741
Uniform,LAI,0.5,0.292857142857143,11.2831858992448,875.899715340596,0.749598418003069,0.911547087532765,1.82414485524775
Uniform,LAI,0.5,0.307142857142857,11.1866895557616,871.80324792368,0.742776181642513,0.907074302558627,1.8264920137514
Uniform,LAI,0.5,0.321428571428571,11.0910248927822,867.736124276609,0.736016035739784,0.902623464673892,1.82885365047221
Uniform,LAI,0.5,0.335714285714286,10.9961858043409,863.698209076502,0.729317415197933,0.898194466188444,1.83122958879788
Uniform,LAI,0.5,0.35,10.9021684819875,859.689368101941,0.722679760063061,0.89378719994058,1.83362070075761
Uniform,LAI,0.5,0.364285714285714,10.8089688893785,855.709468227941,0.716102515477524,0.889401559294422,1.83602780082587
Uniform,LAI,0.5,0.378571428571429,10.7165817530297,851.758377420964,0.709585131633531,0.885037438137331,1.83845113358725
Uniform,LAI,0.5,0.392857142857143,10.625001742097,847.835964733982,0.703127063727204,0.880694730877342,1.84089091530141
