profile,value,Actot,aPAR,Rd
Uniform,-0.5,20.3200641679499,1097.01308641354,2.00336548111411
Uniform,-0.474358974358974,20.2772487410877,1100.30653536551,2.00336548111411
Uniform,-0.448717948717949,20.2348162832947,1103.56256132699,2.00336548111411
Uniform,-0.423076923076923,20.1927575216677,1106.7775475395,2.00336548111411
Uniform,-0.397435897435897,20.1510571288822,1109.94798624937,2.00336548111411
Uniform,-0.371794871794872,20.1096949563623,1113.07051143095,2.00336548111411
Uniform,-0.346153846153846,20.0686474536763,1116.1419330172,2.00336548111411
Uniform,-0.32051282051282,20.02788911397,1119.15927263875,2.00336548111411
Uniform,-0.294871794871795,19.9873938019224,1122.11979671807,2.00336548111411
Uniform,-0.269230769230769,19.9471359796267,1125.0210445749,2.00336548111411
Uniform,-0.243589743589744,19.9070916932298,1127.86084777567,2.00336548111411
Uniform,-0.217948717948718,19.8672393079799,1130.63734051736,2.00336548111411
Uniform,-0.192307692307692,19.8275601574416,1133.34896079327,2.00336548111411
Uniform,-0.166666666666667,19.7880388912368,1135.9944449844,2.00336548111411
Uniform,-0.141025641025641,19.7486637732713,1138.57281769256,2.00336548111411
Uniform,-0.115384615384615,19.7094265944832,1141.08337901965,2.00336548111411
Uniform,-0.0897435897435897,19.6703228329708,1143.52569017886,2.00336548111411
Uniform,-0.0641025641025641,19.6313514322487,1145.89955884203,2.00336548111411
Uniform,-0.0384615384615385,19.5925146806834,1148.20502298547,2.00336548111411
Uniform,-0.0128205128205128,19.553817994709,1150.44233322761,2.00336548111411
Uniform,0.0128205128205128,19.5152696924553,1152.61193522095,2.00336548111411
Uniform,0.0384615384615385,19.4768806905198,1154.71444929909,2.00336548111411
Uniform,0.0641025641025641,19.4386642699328,1156.75065214889,2.00336548111411
Uniform,0.0897435897435897,19.4006357445697,1158.72145702399,2.00336548111411
Uniform,0.115384615384615,19.362812166452,1160.62789669964,2.00336548111411
Uniform,0.141025641025641,19.3252119046142,1162.47110680768,2.00336548111411
Uniform,0.166666666666667,19.2878544072007,1164.25231061448,2.00336548111411
Uniform,0.192307692307692,19.2507598520416,1165.97280505049,2.00336548111411
Uniform,0.217948717948718,19.2139488841166,1167.63394701356,2.00336548111411
Uniform,0.243589743589744,19.1774424034881,1169.23714047966,2.00336548111411
Uniform,0.269230769230769,19.1412613853684,1170.78382452625,2.00336548111411
Uniform,0.294871794871795,19.1054266373075,1172.27546272116,2.00336548111411
Uniform,0.32051282051282,19.0699587707163,1173.71353382455,2.00336548111411
Uniform,0.346153846153846,19.0348778822591,1175.09952467999,2.00336548111411
Uniform,0.371794871794872,19.0002035118927,1176.43492391171,2.00336548111411
Uniform,0.397435897435897,18.9659544473678,1177.72121697872,2.00336548111411
Uniform,0.423076923076923,18.93214868211,1178.95988061738,2.00336548111411
Uniform,0.448717948717949,18.898803383272,1180.15237749435,2.00336548111411
Uniform,0.474358974358974,18.8659349324277,1181.30014997848,2.00336548111411
Uniform,0.5,18.8335589664854,1182.40461494045,2.00336548111411
Top-heavy,-0.5,20.3200641679499,1097.01308641354,2.00336548111411
Top-heavy,-0.474358974358974,20.2772487410877,1100.30653536551,2.00336548111411
Top-heavy,-0.448717948717949,20.2348162832947,1103.56256132699,2.00336548111411
Top-heavy,-0.423076923076923,20.1927575216677,1106.7775475395,2.00336548111411
Top-heavy,-0.397435897435897,20.1510571288822,1109.94798624937,2.00336548111411
Top-heavy,-0.371794871794872,20.1096949563623,1113.07051143095,2.00336548111411
Top-heavy,-0.346153846153846,20.0686474536763,1116.1419330172,2.00336548111411
Top-heavy,-0.32051282051282,20.02788911397,1119.15927263875,2.00336548111411
Top-heavy,-0.294871794871795,19.9873938019224,1122.11979671807,2.00336548111411
Top-heavy,-0.269230769230769,19.9471359796267,1125.0210445749,2.00336548111411
Top-heavy,-0.243589743589744,19.9070916932298,1127.86084777567,2.00336548111411
Top-heavy,-0.217948717948718,19.8672393079799,1130.63734051736,2.00336548111411
Top-heavy,-0.192307692307692,19.8275601574416,1133.34896079327,2.00336548111411
Top-heavy,-0.166666666666667,19.7880388912368,1135.9944449844,2.00336548111411
Top-heavy,-0.141025641025641,19.7486637732713,1138.57281769256,2.00336548111411
Top-heavy,-0.115384615384615,19.7094265944832,1141.08337901965,2.00336548111411
Top-heavy,-0.0897435897435897,19.6703228329708,1143.52569017886,2.00336548111411
Top-heavy,-0.0641025641025641,19.6313514322487,1145.89955884203,2.00336548111411
Top-heavy,-0.0384615384615385,19.5925146806834,1148.20502298547,2.00336548111411
Top-heavy,-0.0128205128205128,19.553817994709,1150.44233322761,2.00336548111411
Top-heavy,0.0128205128205128,19.5152696924553,1152.61193522095,2.00336548111411
Top-heavy,0.0384615384615385,19.4768806905198,1154.71444929909,2.00336548111411
Top-heavy,0.0641025641025641,19.4386642699328,1156.75065214889,2.00336548111411
Top-heavy,0.0897435897435897,19.4006357445697,1158.72145702399,2.00336548111411
Top-heavy,0.115384615384615,19.362812166452,1160.62789669964,2.00336548111411
Top-heavy,0.141025641025641,19.3252119046142,1162.47110680768,2.00336548111411
Top-heavy,0.166666666666667,19.2878544072007,1164.25231061448,2.00336548111411
Top-heavy,0.192307692307692,19.2507598520416,1165.97280505049,2.00336548111411
Top-heavy,0.217948717948718,19.2139488841166,1167.63394701356,2.00336548111411
Top-heavy,0.243589743589744,19.1774424034881,1169.23714047966,2.00336548111411
Top-heavy,0.269230769230769,19.1412613853684,1170.78382452625,2.00336548111411
Top-heavy,0.294871794871795,19.1054266373075,1172.27546272116,2.00336548111411
Top-heavy,0.32051282051282,19.0699587707163,1173.71353382455,2.00336548111411
Top-heavy,0.346153846153846,19.0348778822591,1175.09952467999,2.00336548111411
Top-heavy,0.371794871794872,19.0002035118927,1176.43492391171,2.00336548111411
Top-heavy,0.397435897435897,18.9659544473678,1177.72121697872,2.00336548111411
Top-heavy,0.423076923076923,18.93214868211,1178.95988061738,2.00336548111411
Top-heavy,0.448717948717949,18.898803383272,1180.15237749435,2.00336548111411
Top-heavy,0.474358974358974,18.8659349324277,1181.30014997848,2.00336548111411
Top-heavy,0.5,18.8335589664854,1182.40461494045,2.00336548111411
Bottom-heavy,-0.5,20.3200641679499,1097.01308641354,2.00336548111411
Bottom-heavy,-0.474358974358974,20.2772487410877,1100.30653536551,2.00336548111411
Bottom-heavy,-0.448717948717949,20.2348162832947,1103.56256132699,2.00336548111411
Bottom-heavy,-0.423076923076923,20.1927575216677,1106.7775475395,2.00336548111411
Bottom-heavy,-0.397435897435897,20.1510571288822,1109.94798624937,2.00336548111411
Bottom-heavy,-0.371794871794872,20.1096949563623,1113.07051143095,2.00336548111411
Bottom-heavy,-0.346153846153846,20.0686474536763,1116.1419330172,2.00336548111411
Bottom-heavy,-0.32051282051282,20.02788911397,1119.15927263875,2.00336548111411
Bottom-heavy,-0.294871794871795,19.9873938019224,1122.11979671807,2.00336548111411
Bottom-heavy,-0.269230769230769,19.9471359796267,1125.0210445749,2.00336548111411
Bottom-heavy,-0.243589743589744,19.9070916932298,1127.86084777567,2.00336548111411
Bottom-heavy,-0.217948717948718,19.8672393079799,1130.63734051736,2.00336548111411
Bottom-heavy,-0.192307692307692,19.8275601574416,1133.34896079327,2.00336548111411
Bottom-heavy,-0.166666666666667,19.7880388912368,1135.9944449844,2.00336548111411
Bottom-heavy,-0.141025641025641,19.7486637732713,1138.57281769256,2.00336548111411
Bottom-heavy,-0.115384615384615,19.7094265944832,1141.08337901965,2.00336548111411
Bottom-heavy,-0.0897435897435897,19.6703228329708,1143.52569017886,2.00336548111411
Bottom-heavy,-0.0641025641025641,19.6313514322487,1145.89955884203,2.00336548111411
Bottom-heavy,-0.0384615384615385,19.5925146806834,1148.20502298547,2.00336548111411
Bottom-heavy,-0.0128205128205128,19.553817994709,1150.44233322761,2.00336548111411
Bottom-heavy,0.0128205128205128,19.5152696924553,1152.61193522095,2.00336548111411
Bottom-heavy,0.0384615384615385,19.4768806905198,1154.71444929909,2.00336548111411
Bottom-heavy,0.0641025641025641,19.4386642699328,1156.75065214889,2.00336548111411
Bottom-heavy,0.0897435897435897,19.4006357445697,1158.72145702399,2.00336548111411
Bottom-heavy,0.115384615384615,19.362812166452,1160.62789669964,2.00336548111411
Bottom-heavy,0.141025641025641,19.3252119046142,1162.47110680768,2.00336548111411
Bottom-heavy,0.166666666666667,19.2878544072007,1164.25231061448,2.00336548111411
Bottom-heavy,0.192307692307692,19.2507598520416,1165.97280505049,2.00336548111411
