profile,value,Actot,aPAR,Rd
Uniform,5,3.28529842142867,1115.68459732119,0.166947123426176
Uniform,10,5.91336739849939,1115.68459732119,0.333894246852351
Uniform,15,8.14424094066251,1115.68459732119,0.500841370278527
Uniform,20,10.0700584994791,1115.68459732119,0.667788493704703
Uniform,25,11.7662222484199,1115.68459732119,0.834735617130879
Uniform,30,13.2897889248854,1115.68459732119,1.00168274055705
Uniform,35,14.6692025809624,1115.68459732119,1.16862986398323
Uniform,40,15.9316415054122,1115.68459732119,1.33557698740941
Uniform,45,17.0932561066626,1115.68459732119,1.50252411083558
Uniform,50,18.1655345068434,1115.68459732119,1.66947123426176
Uniform,55,19.1571051494888,1115.68459732119,1.83641835768793
Uniform,60,20.0747855102314,1115.68459732119,2.00336548111411
Uniform,65,20.9242185155053,1115.68459732119,2.17031260454029
Uniform,70,21.710261732066,1115.68459732119,2.33725972796646
Uniform,75,22.4372256270584,1115.68459732119,2.50420685139264
Uniform,80,23.1090200774335,1115.68459732119,2.67115397481881
Uniform,85,23.7292442096701,1115.68459732119,2.83810109824499
Uniform,90,24.3012423561787,1115.68459732119,3.00504822167116
Uniform,95,24.8281401274995,1115.68459732119,3.17199534509734
Uniform,100,25.3128679094136,1115.68459732119,3.33894246852352
Uniform,105,25.7581774548617,1115.68459732119,3.50588959194969
Uniform,110,26.1666538366366,1115.68459732119,3.67283671537587
Uniform,115,26.5407249758588,1115.68459732119,3.83978383880204
Uniform,120,26.8826703421592,1115.68459732119,4.00673096222822
Uniform,125,27.1946277575162,1115.68459732119,4.1736780856544
Uniform,130,27.4786009172061,1115.68459732119,4.34062520908057
Uniform,135,27.736466223846,1115.68459732119,4.50757233250675
Uniform,140,27.9390667091768,1115.68459732119,4.67451945593292
Uniform,145,28.1483085734874,1115.68459732119,4.8414665793591
Uniform,150,28.3364317716992,1115.68459732119,5.00841370278528
Uniform,155,28.504867592194,1115.68459732119,5.17536082621145
Uniform,160,28.6548192717293,1115.68459732119,5.34230794963763
Uniform,165,28.7877532195173,1115.68459732119,5.5092550730638
Uniform,170,28.9047284284688,1115.68459732119,5.67620219648998
Uniform,175,29.0068437721228,1115.68459732119,5.84314931991615
Uniform,180,29.0950663404682,1115.68459732119,6.01009644334233
Uniform,185,29.1703493987408,1115.68459732119,6.17704356676851
Uniform,190,29.2335322716304,1115.68459732119,6.34399069019468
Uniform,195,29.2854431284353,1115.68459732119,6.51093781362086
Uniform,200,29.3268150838053,1115.68459732119,6.67788493704703
Top-heavy,5,3.28529842142867,1115.68459732119,0.166947123426176
Top-heavy,10,5.91336739849939,1115.68459732119,0.333894246852351
Top-heavy,15,8.14424094066251,1115.68459732119,0.500841370278527
Top-heavy,20,10.0700584994791,1115.68459732119,0.667788493704703
Top-heavy,25,11.7662222484199,1115.68459732119,0.834735617130879
Top-heavy,30,13.2897889248854,1115.68459732119,1.00168274055705
Top-heavy,35,14.6692025809624,1115.68459732119,1.16862986398323
Top-heavy,40,15.9316415054122,1115.68459732119,1.33557698740941
Top-heavy,45,17.0932561066626,1115.68459732119,1.50252411083558
Top-heavy,50,18.1655345068434,1115.68459732119,1.66947123426176
Top-heavy,55,19.1571051494888,1115.68459732119,1.83641835768793
Top-heavy,60,20.0747855102314,1115.68459732119,2.00336548111411
Top-heavy,65,20.9242185155053,1115.68459732119,2.17031260454029
Top-heavy,70,21.710261732066,1115.68459732119,2.33725972796646
Top-heavy,75,22.4372256270584,1115.68459732119,2.50420685139264
Top-heavy,80,23.1090200774335,1115.68459732119,2.67115397481881
Top-heavy,85,23.7292442096701,1115.68459732119,2.83810109824499
Top-heavy,90,24.3012423561787,1115.68459732119,3.00504822167116
Top-heavy,95,24.8281401274995,1115.68459732119,3.17199534509734
Top-heavy,100,25.3128679094136,1115.68459732119,3.33894246852352
Top-heavy,105,25.7581774548617,1115.68459732119,3.50588959194969
Top-heavy,110,26.1666538366366,1115.68459732119,3.67283671537587
Top-heavy,115,26.5407249758588,1115.68459732119,3.83978383880204
Top-heavy,120,26.8826703421592,1115.68459732119,4.00673096222822
Top-heavy,125,27.1946277575162,1115.68459732119,4.1736780856544
Top-heavy,130,27.4786009172061,1115.68459732119,4.34062520908057
Top-heavy,135,27.736466223846,1115.68459732119,4.50757233250675
Top-heavy,140,27.9390667091768,1115.68459732119,4.67451945593292
Top-heavy,145,28.1483085734874,1115.68459732119,4.8414665793591
Top-heavy,150,28.3364317716992,1115.68459732119,5.00841370278528
Top-heavy,155,28.504867592194,1115.68459732119,5.17536082621145
Top-heavy,160,28.6548192717293,1115.68459732119,5.34230794963763
Top-heavy,165,28.7877532195173,1115.68459732119,5.5092550730638
Top-heavy,170,28.9047284284688,1115.68459732119,5.67620219648998
Top-heavy,175,29.0068437721228,1115.68459732119,5.84314931991615
Top-heavy,180,29.0950663404682,1115.68459732119,6.01009644334233
Top-heavy,185,29.1703493987408,1115.68459732119,6.17704356676851
Top-heavy,190,29.2335322716304,1115.68459732119,6.34399069019468
Top-heavy,195,29.2854431284353,1115.68459732119,6.51093781362086
Top-heavy,200,29.3268150838053,1115.68459732119,6.67788493704703
Bottom-heavy,5,3.28529842142867,1115.68459732119,0.166947123426176
Bottom-heavy,10,5.91336739849939,1115.68459732119,0.333894246852351
Bottom-heavy,15,8.14424094066251,1115.68459732119,0.500841370278527
Bottom-heavy,20,10.0700584994791,1115.68459732119,0.667788493704703
Bottom-heavy,25,11.7662222484199,1115.68459732119,0.834735617130879
Bottom-heavy,30,13.2897889248854,1115.68459732119,1.00168274055705
Bottom-heavy,35,14.6692025809624,1115.68459732119,1.16862986398323
Bottom-heavy,40,15.9316415054122,1115.68459732119,1.33557698740941
Bottom-heavy,45,17.0932561066626,1115.68459732119,1.50252411083558
Bottom-heavy,50,18.1655345068434,1115.68459732119,1.66947123426176
Bottom-heavy,55,19.1571051494888,1115.68459732119,1.83641835768793
Bottom-heavy,60,20.0747855102314,1115.68459732119,2.00336548111411
Bottom-heavy,65,20.9242185155053,1115.68459732119,2.17031260454029
Bottom-heavy,70,21.710261732066,1115.68459732119,2.33725972796646
Bottom-heavy,75,22.4372256270584,1115.68459732119,2.50420685139264
Bottom-heavy,80,23.1090200774335,1115.68459732119,2.67115397481881
Bottom-heavy,85,23.7292442096701,1115.68459732119,2.83810109824499
Bottom-heavy,90,24.3012423561787,1115.68459732119,3.00504822167116
Bottom-heavy,95,24.8281401274995,1115.68459732119,3.17199534509734
Bottom-heavy,100,25.3128679094136,1115.68459732119,3.33894246852352
Bottom-heavy,105,25.7581774548617,1115.68459732119,3.50588959194969
Bottom-heavy,110,26.1666538366366,1115.68459732119,3.67283671537587
Bottom-heavy,115,26.5407249758588,1115.68459732119,3.83978383880204
Bottom-heavy,120,26.8826703421592,1115.68459732119,4.00673096222822
Bottom-heavy,125,27.1946277575162,1115.68459732119,4.1736780856544
Bottom-heavy,130,27.4786009172061,1115.68459732119,4.34062520908057
Bottom-heavy,135,27.736466223846,1115.68459732119,4.50757233250675
Bottom-heavy,140,27.9390667091768,1115.68459732119,4.67451945593292
Bottom-heavy,145,28.1483085734874,1115.68459732119,4.8414665793591
Bottom-heavy,150,28.3364317716992,1115.68459732119,5.00841370278528
Bottom-heavy,155,28.504867592194,1115.68459732119,5.17536082621145
Bottom-heavy,160,28.6548192717293,1115.68459732119,5.34230794963763
Bottom-heavy,165,28.7877532195173,1115.68459732119,5.5092550730638
Bottom-heavy,170,28.9047284284688,1115.68459732119,5.67620219648998
Bottom-heavy,175,29.0068437721228,1115.68459732119,5.84314931991615
Bottom-heavy,180,29.0950663404682,1115.68459732119,6.01009644334233
Bottom-heavy,185,29.1703493987408,1115.68459732119,6.17704356676851
Bottom-heavy,190,29.2335322716304,1115.68459732119,6.34399069019468
Bottom-heavy,195,29.2854431284353,1115.68459732119,6.51093781362086
Bottom-heavy,200,29.3268150838053,1115.68459732119,6.67788493704703
