profile,value,Actot,aPAR,Rd
Uniform,0.1,-1.99437672118273,0.185947432886866,2.00336548111411
Uniform,30.8666666666667,0.365101449451426,57.3957742844126,2.00336548111411
Uniform,61.6333333333333,2.61594263910851,114.605601135938,2.00336548111411
Uniform,92.4,4.63966102663181,171.815427987464,2.00336548111411
Uniform,123.166666666667,6.49651836515379,229.02525483899,2.00336548111411
Uniform,153.933333333333,8.18528622260743,286.235081690515,2.00336548111411
Uniform,184.7,9.71020340832506,343.444908542041,2.00336548111411
Uniform,215.466666666667,11.0720743921825,400.654735393567,2.00336548111411
Uniform,246.233333333333,12.2875496672802,457.864562245093,2.00336548111411
Uniform,277,13.3729916998206,515.074389096618,2.00336548111411
Uniform,307.766666666667,14.3448126915363,572.284215948144,2.00336548111411
Uniform,338.533333333333,15.2181113079215,629.49404279967,2.00336548111411
Uniform,369.3,16.0060870452582,686.703869651196,2.00336548111411
Uniform,400.066666666667,16.7205791385066,743.913696502721,2.00336548111411
Uniform,430.833333333333,17.3699924320158,801.123523354247,2.00336548111411
Uniform,461.6,17.9625054156106,858.333350205772,2.00336548111411
Uniform,492.366666666667,18.5046159222362,915.543177057298,2.00336548111411
Uniform,523.133333333333,19.0017252261805,972.753003908824,2.00336548111411
Uniform,553.9,19.4583380609023,1029.96283076035,2.00336548111411
Uniform,584.666666666667,19.8782272991069,1087.17265761188,2.00336548111411
Uniform,615.433333333333,20.2645686813867,1144.3824844634,2.00336548111411
Uniform,646.2,20.6200486259872,1201.59231131493,2.00336548111411
Uniform,676.966666666667,20.9469763313126,1258.80213816645,2.00336548111411
Uniform,707.733333333333,21.2473528609921,1316.01196501798,2.00336548111411
Uniform,738.5,21.5203643345009,1373.2217918695,2.00336548111411
Uniform,769.266666666667,21.7732517629047,1430.43161872103,2.00336548111411
Uniform,800.033333333333,22.0042341237532,1487.64144557256,2.0033654811141
Uniform,830.8,22.2143985005405,1544.85127242408,2.0033654811141
Uniform,861.566666666667,22.4046865851284,1602.06109927561,2.00336548111409
Uniform,892.333333333333,22.5761665682564,1659.27092612713,2.00336548111406
Uniform,923.1,22.7313085585412,1716.48075297866,2.00336548111402
Uniform,953.866666666667,22.86762933019,1773.69057983018,2.00336548111393
Uniform,984.633333333333,22.9866014189344,1830.90040668171,2.00336548111374
Uniform,1015.4,23.0715415283916,1888.11023353324,2.00336548111332
Uniform,1046.16666666667,23.1535607483934,1945.32006038476,2.00336548111248
Uniform,1076.93333333333,23.2188975148478,2002.52988723629,2.00336548111071
Uniform,1107.7,23.2695424117412,2059.73971408781,2.00336548110699
Uniform,1138.46666666667,23.3027081454767,2116.94954093934,2.00336548109895
Uniform,1169.23333333333,23.3201332207333,2174.15936779086,2.00336548108146
Uniform,1200,23.3223078415539,2231.36919464239,2.00336548104297
Top-heavy,0.1,-1.99437672118273,0.185947432886866,2.00336548111411
Top-heavy,30.8666666666667,0.365101449451426,57.3957742844126,2.00336548111411
Top-heavy,61.6333333333333,2.61594263910851,114.605601135938,2.00336548111411
Top-heavy,92.4,4.63966102663181,171.815427987464,2.00336548111411
Top-heavy,123.166666666667,6.49651836515379,229.02525483899,2.00336548111411
Top-heavy,153.933333333333,8.18528622260743,286.235081690515,2.00336548111411
Top-heavy,184.7,9.71020340832506,343.444908542041,2.00336548111411
Top-heavy,215.466666666667,11.0720743921825,400.654735393567,2.00336548111411
Top-heavy,246.233333333333,12.2875496672802,457.864562245093,2.00336548111411
Top-heavy,277,13.3729916998206,515.074389096618,2.00336548111411
Top-heavy,307.766666666667,14.3448126915363,572.284215948144,2.00336548111411
Top-heavy,338.533333333333,15.2181113079215,629.49404279967,2.00336548111411
Top-heavy,369.3,16.0060870452582,686.703869651196,2.00336548111411
Top-heavy,400.066666666667,16.7205791385066,743.913696502721,2.00336548111411
Top-heavy,430.833333333333,17.3699924320158,801.123523354247,2.00336548111411
Top-heavy,461.6,17.9625054156106,858.333350205772,2.00336548111411
Top-heavy,492.366666666667,18.5046159222362,915.543177057298,2.00336548111411
Top-heavy,523.133333333333,19.0017252261805,972.753003908824,2.00336548111411
Top-heavy,553.9,19.4583380609023,1029.96283076035,2.00336548111411
Top-heavy,584.666666666667,19.8782272991069,1087.17265761188,2.00336548111411
Top-heavy,615.433333333333,20.2645686813867,1144.3824844634,2.00336548111411
Top-heavy,646.2,20.6200486259872,1201.59231131493,2.00336548111411
Top-heavy,676.966666666667,20.9469763313126,1258.80213816645,2.00336548111411
Top-heavy,707.733333333333,21.2473528609921,1316.01196501798,2.00336548111411
Top-heavy,738.5,21.5203643345009,1373.2217918695,2.00336548111411
Top-heavy,769.266666666667,21.7732517629047,1430.43161872103,2.00336548111411
Top-heavy,800.033333333333,22.0042341237532,1487.64144557256,2.0033654811141
Top-heavy,830.8,22.2143985005405,1544.85127242408,2.0033654811141
Top-heavy,861.566666666667,22.4046865851284,1602.06109927561,2.00336548111409
Top-heavy,892.333333333333,22.5761665682564,1659.27092612713,2.00336548111406
Top-heavy,923.1,22.7313085585412,1716.48075297866,2.00336548111402
Top-heavy,953.866666666667,22.86762933019,1773.69057983018,2.00336548111393
Top-heavy,984.633333333333,22.9866014189344,1830.90040668171,2.00336548111374
Top-heavy,1015.4,23.0715415283916,1888.11023353324,2.00336548111332
Top-heavy,1046.16666666667,23.1535607483934,1945.32006038476,2.00336548111248
Top-heavy,1076.93333333333,23.2188975148478,2002.52988723629,2.00336548111071
Top-heavy,1107.7,23.2695424117412,2059.73971408781,2.00336548110699
Top-heavy,1138.46666666667,23.3027081454767,2116.94954093934,2.00336548109895
Top-heavy,1169.23333333333,23.3201332207333,2174.15936779086,2.00336548108146
